"created_at","disaster_type","severity","confidence","camera_id","location_tag","message"
"2026-03-16T16:02:01.239967","fire","critical","0.861","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:02:09.519914","fire","critical","0.756","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:02:51.122584","fire","critical","0.808","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:02:59.279480","fire","critical","0.731","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:03:07.508419","fire","critical","0.73","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:03:15.671407","fire","critical","0.735","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:03:23.799949","fire","critical","0.745","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:03:31.897470","fire","critical","0.72","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:03:42.687065","fire","critical","0.76","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:03:50.916539","fire","critical","0.737","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:03:59.227351","fire","critical","0.742","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:26:10.896435","fire","high","0.617","CAM-01","Sector-A","Fire detected | Severity: HIGH | Count: 1"
"2026-03-16T16:26:29.219671","fire","critical","0.656","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T16:26:37.348577","fire","critical","0.65","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 2"
"2026-03-16T18:03:41.318693","fire","critical","0.851","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:04:15.029373","fire","critical","0.955","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:04:23.055628","fire","critical","0.96","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:04:37.627812","fire","critical","0.743","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:04:45.736098","fire","critical","0.984","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:04:53.787823","fire","critical","0.981","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:05:01.920824","fire","critical","0.983","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:05:09.973475","fire","critical","0.978","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:05:17.995548","fire","critical","0.982","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:05:26.134739","fire","critical","0.981","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:05:51.467189","fire","high","0.616","CAM-01","Sector-A","Fire detected | Severity: HIGH | Count: 1"
"2026-03-16T18:05:52.331017","flood","critical","0.948","CAM-01","Sector-A","Flood/waterlogging detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:06:00.443821","flood","critical","0.977","CAM-01","Sector-A","Flood/waterlogging detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:06:08.458440","flood","critical","0.976","CAM-01","Sector-A","Flood/waterlogging detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:06:24.850805","flood","critical","0.969","CAM-01","Sector-A","Flood/waterlogging detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:06:32.990848","flood","critical","0.972","CAM-01","Sector-A","Flood/waterlogging detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:07:02.543915","fire","critical","0.744","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:07:03.135817","flood","critical","0.718","CAM-01","Sector-A","Flood/waterlogging detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:07:11.242462","flood","critical","0.972","CAM-01","Sector-A","Flood/waterlogging detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:07:19.261978","flood","critical","0.974","CAM-01","Sector-A","Flood/waterlogging detected | Severity: CRITICAL | Count: 1"
"2026-03-16T18:07:31.033800","flood","high","0.596","CAM-01","Sector-A","Flood/waterlogging detected | Severity: HIGH | Count: 1"
"2026-03-17T13:32:47.951834","fire","critical","0.744","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:32:56.267651","fire","critical","0.884","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:33:05.149171","fire","high","0.645","CAM-01","Sector-A","Fire detected | Severity: HIGH | Count: 1"
"2026-03-17T13:33:13.924700","fire","critical","0.771","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:33:22.402660","fire","critical","0.878","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:33:31.889277","fire","high","0.619","CAM-01","Sector-A","Fire detected | Severity: HIGH | Count: 1"
"2026-03-17T13:33:54.343839","fire","critical","0.968","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:33:58.451549","flood","critical","0.689","CAM-01","Sector-A","Flood/waterlogging detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:34:14.731942","fire","critical","0.68","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:34:25.695209","fire","high","0.633","CAM-01","Sector-A","Fire detected | Severity: HIGH | Count: 1"
"2026-03-17T13:34:36.355674","fire","high","0.644","CAM-01","Sector-A","Fire detected | Severity: HIGH | Count: 1"
"2026-03-17T13:34:44.599414","fire","critical","0.986","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:34:52.896238","fire","critical","0.761","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:35:05.361676","fire","high","0.633","CAM-01","Sector-A","Fire detected | Severity: HIGH | Count: 1"
"2026-03-17T13:35:13.748182","fire","critical","0.929","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:35:22.126600","fire","critical","0.947","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:35:34.052454","fire","critical","0.839","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:35:45.572664","fire","high","0.606","CAM-01","Sector-A","Fire detected | Severity: HIGH | Count: 1"
"2026-03-17T13:35:58.201357","flood","high","0.61","CAM-01","Sector-A","Flood/waterlogging detected | Severity: HIGH | Count: 1"
"2026-03-17T13:35:59.174291","fire","critical","0.856","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:36:07.334268","fire","critical","0.794","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:36:15.625715","fire","critical","0.783","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:36:23.788941","fire","critical","0.88","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:36:32.132612","fire","critical","0.709","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:36:33.396375","flood","high","0.545","CAM-01","Sector-A","Flood/waterlogging detected | Severity: HIGH | Count: 1"
"2026-03-17T13:36:41.265056","fire","critical","0.714","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:36:49.720291","fire","high","0.621","CAM-01","Sector-A","Fire detected | Severity: HIGH | Count: 1"
"2026-03-17T13:44:16.211763","fire","critical","0.677","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:44:24.634298","fire","critical","0.87","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:44:33.544647","fire","critical","0.793","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:44:41.741339","fire","critical","0.726","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:44:50.769941","fire","critical","0.87","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:44:59.217239","fire","critical","0.81","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:50:42.688865","fire","critical","0.906","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:51:20.109567","fire","critical","0.908","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:51:29.064294","fire","critical","0.954","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:52:02.400484","fire","critical","0.937","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:52:10.808302","flood","critical","0.785","CAM-01","Sector-A","Flood/waterlogging detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:52:20.234880","fire","critical","0.885","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:52:29.500122","fire","critical","0.977","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:52:40.054384","fire","critical","0.734","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:52:52.511429","fire","critical","0.923","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:53:19.921204","fire","critical","0.93","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:53:29.992421","fire","critical","0.985","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T13:53:55.580136","fire","critical","0.904","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T14:05:38.039408","fire","critical","0.86","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T14:06:03.022259","fire","critical","0.935","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-17T14:17:39.824463","fire","critical","0.929","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:33:17.316515","fire","critical","0.793","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:33:25.334019","fire","critical","0.808","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:33:34.365994","fire","critical","0.979","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:33:43.284136","fire","critical","0.974","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:34:01.425622","fire","critical","0.956","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:34:13.808076","fire","critical","0.967","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:34:22.851636","fire","critical","0.982","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:35:07.137840","fire","critical","0.977","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:35:16.765478","fire","critical","0.898","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
"2026-03-23T05:35:25.892583","fire","critical","0.902","CAM-01","Sector-A","Fire detected | Severity: CRITICAL | Count: 1"
